source_id,case_id,filename,file_type,source_role,table_id,language,paired_note,format_notes
D2_TX_HWYO0,CASE_D2,HWYO0AR.docx,transcript,primary_verbal,0,Arabic,HWYO0NT1.docx,"Day 2 transcript. Mixed/generic speaker descriptions per corpus refresh foundation."
D2_TX_HWYO3,CASE_D2,HWYO3AR.docx,transcript,primary_verbal,3,Arabic,HWYO3NT1.docx,"Day 2 transcript. No extracted speaker labels in prior foundation scan."
D2_TX_HWYO4,CASE_D2,HWYO4AR.docx,transcript,primary_verbal,4,Arabic,HWYO4NT1.docx,"Day 2 transcript. Named speakers with role annotations per corpus refresh foundation."
D2_TX_HWYO7,CASE_D2,HWYO7AR.docx,transcript,primary_verbal,7,Arabic,,"Day 2 transcript. Transcript-only source with no paired note file. No extracted speaker labels in prior foundation scan."
D2_TX_HWYO9,CASE_D2,HWYO9AR.docx,transcript,primary_verbal,9,Arabic,"HWYO9NT1[7].docx; HWYO9NT2.docx","Day 2 transcript. Generic Speaker N labels per corpus refresh foundation."
D2_TX_HWYO10,CASE_D2,HWYO10AR.docx,transcript,primary_verbal,10,English,HWYO10NT1.docx,"Day 2 transcript. English with relatively clean speaker labels per corpus refresh foundation."
D2_TX_HWYO11,CASE_D2,HWYO11AR.docx,transcript,primary_verbal,11,Arabic,HWYO11NT2.docx,"Day 2 transcript. Arabic role-labelled speakers per corpus refresh foundation."
D2_NT_HWYO0,CASE_D2,HWYO0NT1.docx,note,contextual_triangulation,0,unknown,,"Day 2 note file paired to HWYO0AR. Language to confirm during preparation."
D2_NT_HWYO1,CASE_D2,HWYO1NT.docx,note,contextual_triangulation,1,unknown,,"Day 2 note-only source with irregular NT suffix and no paired transcript."
D2_NT_HWYO3,CASE_D2,HWYO3NT1.docx,note,contextual_triangulation,3,unknown,,"Day 2 note file paired to HWYO3AR."
D2_NT_HWYO4,CASE_D2,HWYO4NT1.docx,note,contextual_triangulation,4,unknown,,"Day 2 note file paired to HWYO4AR."
D2_NT_HWYO5,CASE_D2,HWYO5NT1.docx,note,contextual_triangulation,5,unknown,,"Day 2 note-only source with no paired transcript."
D2_NT_HWYO6,CASE_D2,HWYO6NT1.docx,note,contextual_triangulation,6,unknown,,"Day 2 note-only source with no paired transcript."
D2_NT_HWYO9A,CASE_D2,HWYO9NT1[7].docx,note,contextual_triangulation,9,unknown,,"Day 2 note file paired to HWYO9AR. Filename contains square brackets; verify tooling safety during preparation."
D2_NT_HWYO9B,CASE_D2,HWYO9NT2.docx,note,contextual_triangulation,9,unknown,,"Second Day 2 note file paired to HWYO9AR."
D2_NT_HWYO10,CASE_D2,HWYO10NT1.docx,note,contextual_triangulation,10,unknown,,"Day 2 note file paired to HWYO10AR."
D2_NT_HWYO11,CASE_D2,HWYO11NT2.docx,note,contextual_triangulation,11,unknown,,"Day 2 note file paired to HWYO11AR."
D2_REC,CASE_D2,Health_Workshop_Suggestions Day 2.xlsx,recommendation_workbook,auxiliary_recommendation,all,mixed,,"57 user-attributed recommendation rows in grouped/cleaned workbook structure. Use only as clearly labeled auxiliary recommendation material, primarily for Q6/Q7."
